local,hora,nivel,cor,aviso,tooltip
Guarda,13:00,2,#FADF4B,🟡 Amarelo,Guarda às 13:00: 🟡 Amarelo
Guarda,14:00,2,#FADF4B,🟡 Amarelo,Guarda às 14:00: 🟡 Amarelo
Guarda,15:00,2,#FADF4B,🟡 Amarelo,Guarda às 15:00: 🟡 Amarelo
Guarda,16:00,2,#FADF4B,🟡 Amarelo,Guarda às 16:00: 🟡 Amarelo
Guarda,17:00,2,#FADF4B,🟡 Amarelo,Guarda às 17:00: 🟡 Amarelo
Guarda,18:00,2,#FADF4B,🟡 Amarelo,Guarda às 18:00: 🟡 Amarelo
Guarda,19:00,2,#FADF4B,🟡 Amarelo,Guarda às 19:00: 🟡 Amarelo
Guarda,20:00,2,#FADF4B,🟡 Amarelo,Guarda às 20:00: 🟡 Amarelo
Guarda,21:00,2,#FADF4B,🟡 Amarelo,Guarda às 21:00: 🟡 Amarelo
Guarda,22:00,2,#FADF4B,🟡 Amarelo,Guarda às 22:00: 🟡 Amarelo
Guarda,23:00,2,#FADF4B,🟡 Amarelo,Guarda às 23:00: 🟡 Amarelo
Leiria,00:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 00:00: ⚪ Sem informação
Leiria,01:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 01:00: ⚪ Sem informação
Leiria,02:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 02:00: ⚪ Sem informação
Leiria,03:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 03:00: ⚪ Sem informação
Leiria,04:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 04:00: ⚪ Sem informação
Leiria,05:00,NA,#C8C7BB,⚪ Sem informação,Leiria às 05:00: ⚪ Sem informação
Leiria,06:00,1,#B9D153,🟢 Verde,Leiria às 06:00: 🟢 Verde
Leiria,07:00,1,#B9D153,🟢 Verde,Leiria às 07:00: 🟢 Verde
Leiria,08:00,1,#B9D153,🟢 Verde,Leiria às 08:00: 🟢 Verde
Leiria,09:00,2,#FADF4B,🟡 Amarelo,Leiria às 09:00: 🟡 Amarelo
Leiria,10:00,2,#FADF4B,🟡 Amarelo,Leiria às 10:00: 🟡 Amarelo
Leiria,11:00,2,#FADF4B,🟡 Amarelo,Leiria às 11:00: 🟡 Amarelo
Leiria,12:00,2,#FADF4B,🟡 Amarelo,Leiria às 12:00: 🟡 Amarelo
Leiria,13:00,2,#FADF4B,🟡 Amarelo,Leiria às 13:00: 🟡 Amarelo
Leiria,14:00,2,#FADF4B,🟡 Amarelo,Leiria às 14:00: 🟡 Amarelo
Leiria,15:00,2,#FADF4B,🟡 Amarelo,Leiria às 15:00: 🟡 Amarelo
Leiria,16:00,2,#FADF4B,🟡 Amarelo,Leiria às 16:00: 🟡 Amarelo
Leiria,17:00,2,#FADF4B,🟡 Amarelo,Leiria às 17:00: 🟡 Amarelo
Leiria,18:00,2,#FADF4B,🟡 Amarelo,Leiria às 18:00: 🟡 Amarelo
Leiria,19:00,2,#FADF4B,🟡 Amarelo,Leiria às 19:00: 🟡 Amarelo
Leiria,20:00,2,#FADF4B,🟡 Amarelo,Leiria às 20:00: 🟡 Amarelo
Leiria,21:00,2,#FADF4B,🟡 Amarelo,Leiria às 21:00: 🟡 Amarelo
Leiria,22:00,2,#FADF4B,🟡 Amarelo,Leiria às 22:00: 🟡 Amarelo
Leiria,23:00,2,#FADF4B,🟡 Amarelo,Leiria às 23:00: 🟡 Amarelo
Lisboa,00:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 00:00: ⚪ Sem informação
Lisboa,01:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 01:00: ⚪ Sem informação
Lisboa,02:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 02:00: ⚪ Sem informação
Lisboa,03:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 03:00: ⚪ Sem informação
Lisboa,04:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 04:00: ⚪ Sem informação
Lisboa,05:00,NA,#C8C7BB,⚪ Sem informação,Lisboa às 05:00: ⚪ Sem informação
Lisboa,06:00,1,#B9D153,🟢 Verde,Lisboa às 06:00: 🟢 Verde
Lisboa,07:00,1,#B9D153,🟢 Verde,Lisboa às 07:00: 🟢 Verde
Lisboa,08:00,1,#B9D153,🟢 Verde,Lisboa às 08:00: 🟢 Verde
Lisboa,09:00,2,#FADF4B,🟡 Amarelo,Lisboa às 09:00: 🟡 Amarelo
Lisboa,10:00,2,#FADF4B,🟡 Amarelo,Lisboa às 10:00: 🟡 Amarelo
Lisboa,11:00,2,#FADF4B,🟡 Amarelo,Lisboa às 11:00: 🟡 Amarelo
Lisboa,12:00,2,#FADF4B,🟡 Amarelo,Lisboa às 12:00: 🟡 Amarelo
Lisboa,13:00,2,#FADF4B,🟡 Amarelo,Lisboa às 13:00: 🟡 Amarelo
Lisboa,14:00,2,#FADF4B,🟡 Amarelo,Lisboa às 14:00: 🟡 Amarelo
Lisboa,15:00,2,#FADF4B,🟡 Amarelo,Lisboa às 15:00: 🟡 Amarelo
Lisboa,16:00,2,#FADF4B,🟡 Amarelo,Lisboa às 16:00: 🟡 Amarelo
Lisboa,17:00,2,#FADF4B,🟡 Amarelo,Lisboa às 17:00: 🟡 Amarelo
Lisboa,18:00,2,#FADF4B,🟡 Amarelo,Lisboa às 18:00: 🟡 Amarelo
Lisboa,19:00,2,#FADF4B,🟡 Amarelo,Lisboa às 19:00: 🟡 Amarelo
Lisboa,20:00,2,#FADF4B,🟡 Amarelo,Lisboa às 20:00: 🟡 Amarelo
Lisboa,21:00,2,#FADF4B,🟡 Amarelo,Lisboa às 21:00: 🟡 Amarelo
Lisboa,22:00,2,#FADF4B,🟡 Amarelo,Lisboa às 22:00: 🟡 Amarelo
Lisboa,23:00,2,#FADF4B,🟡 Amarelo,Lisboa às 23:00: 🟡 Amarelo
Penhas Douradas,00:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 00:00: ⚪ Sem informação
Penhas Douradas,01:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 01:00: ⚪ Sem informação
Penhas Douradas,02:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 02:00: ⚪ Sem informação
Penhas Douradas,03:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 03:00: ⚪ Sem informação
Penhas Douradas,04:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 04:00: ⚪ Sem informação
Penhas Douradas,05:00,NA,#C8C7BB,⚪ Sem informação,Penhas Douradas às 05:00: ⚪ Sem informação
Penhas Douradas,06:00,1,#B9D153,🟢 Verde,Penhas Douradas às 06:00: 🟢 Verde
Penhas Douradas,07:00,1,#B9D153,🟢 Verde,Penhas Douradas às 07:00: 🟢 Verde
Penhas Douradas,08:00,1,#B9D153,🟢 Verde,Penhas Douradas às 08:00: 🟢 Verde
Penhas Douradas,09:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 09:00: 🟡 Amarelo
Penhas Douradas,10:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 10:00: 🟡 Amarelo
Penhas Douradas,11:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 11:00: 🟡 Amarelo
Penhas Douradas,12:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 12:00: 🟡 Amarelo
Penhas Douradas,13:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 13:00: 🟡 Amarelo
Penhas Douradas,14:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 14:00: 🟡 Amarelo
Penhas Douradas,15:00,2,#FADF4B,🟡 Amarelo,Penhas Douradas às 15:00: 🟡 Amarelo
